Country,Number_apiaries,Size_less_50,Size_50_to_150,Size_more_150,Number_colonies,Number_dead
Belgium,149,100,0,0,627,211
Denmark,202,100,0,0,1394,282
Germany,223,97.8,2.2,0,1988,270
Estonia,197,95.4,4.1,0.5,2337,547
Finland,161,100,0,0,787,111
France,344,95.3,4.7,0,2477,163
Greece,161,39.8,43.5,16.8,1386,91
Hungary,197,50.8,37.6,11.7,3934,209
Italy,184,77.2,19.6,3.3,1682,257
Latvia,194,84,14.9,1,1930,68
Lithuania,191,39.8,50.8,9.4,2484,368
Poland,190,71.6,27.4,1.1,3207,196
Portugal,146,96.6,3.4,0,437,65
Slovakia,190,82.1,15.8,2.1,3199,195
Spain,204,40.7,56.4,2.9,2321,220
Sweden,151,100,0,0,725,208
United Kingdom,200,100,0,0,917,264
